"rules","support","confidence","coverage","lift","count"
"96","{Trans.=[540,810]} => {Lipstick=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"97","{Lipstick=[0,1]} => {Trans.=[540,810]}",0.333333333333333,0.333333333333333,1,1,270
"98","{Trans.=[540,810]} => {Eyeliner=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"99","{Eyeliner=[0,1]} => {Trans.=[540,810]}",0.333333333333333,0.333333333333333,1,1,270
"100","{Trans.=[540,810]} => {Bag=[0,1]}",0.333333333333333,1,0.333333333333333,1,270
"101","{Bag=[0,1]} => {Trans.=[540,810]}",0.333333333333333,0.333333333333333,1,1,270
"102","{Blush=[0,1]} => {Nail.Polish=[0,1]}",1,1,1,1,810
"103","{Nail.Polish=[0,1]} => {Blush=[0,1]}",1,1,1,1,810
"104","{Blush=[0,1]} => {Brushes=[0,1]}",1,1,1,1,810
"105","{Brushes=[0,1]} => {Blush=[0,1]}",1,1,1,1,810
"106","{Blush=[0,1]} => {Concealer=[0,1]}",1,1,1,1,810
"107","{Concealer=[0,1]} => {Blush=[0,1]}",1,1,1,1,810
"108","{Blush=[0,1]} => {Eyebrow.Pencils=[0,1]}",1,1,1,1,810
"109","{Eyebrow.Pencils=[0,1]} => {Blush=[0,1]}",1,1,1,1,810
"110","{Blush=[0,1]} => {Bronzer=[0,1]}",1,1,1,1,810
"111","{Bronzer=[0,1]} => {Blush=[0,1]}",1,1,1,1,810
"112","{Blush=[0,1]} => {Lip.liner=[0,1]}",1,1,1,1,810
"113","{Lip.liner=[0,1]} => {Blush=[0,1]}",1,1,1,1,810
"114","{Blush=[0,1]} => {Mascara=[0,1]}",1,1,1,1,810
"115","{Mascara=[0,1]} => {Blush=[0,1]}",1,1,1,1,810
"116","{Blush=[0,1]} => {Eye.shadow=[0,1]}",1,1,1,1,810
"117","{Eye.shadow=[0,1]} => {Blush=[0,1]}",1,1,1,1,810
"118","{Blush=[0,1]} => {Foundation=[0,1]}",1,1,1,1,810
"119","{Foundation=[0,1]} => {Blush=[0,1]}",1,1,1,1,810
"120","{Blush=[0,1]} => {Lip.Gloss=[0,1]}",1,1,1,1,810
"121","{Lip.Gloss=[0,1]} => {Blush=[0,1]}",1,1,1,1,810
"122","{Blush=[0,1]} => {Lipstick=[0,1]}",1,1,1,1,810
"123","{Lipstick=[0,1]} => {Blush=[0,1]}",1,1,1,1,810
"124","{Blush=[0,1]} => {Eyeliner=[0,1]}",1,1,1,1,810
"125","{Eyeliner=[0,1]} => {Blush=[0,1]}",1,1,1,1,810
"126","{Blush=[0,1]} => {Bag=[0,1]}",1,1,1,1,810
"127","{Bag=[0,1]} => {Blush=[0,1]}",1,1,1,1,810
"128","{Nail.Polish=[0,1]} => {Brushes=[0,1]}",1,1,1,1,810
"129","{Brushes=[0,1]} => {Nail.Polish=[0,1]}",1,1,1,1,810
"130","{Nail.Polish=[0,1]} => {Concealer=[0,1]}",1,1,1,1,810
"131","{Concealer=[0,1]} => {Nail.Polish=[0,1]}",1,1,1,1,810
"132","{Nail.Polish=[0,1]} => {Eyebrow.Pencils=[0,1]}",1,1,1,1,810
"133","{Eyebrow.Pencils=[0,1]} => {Nail.Polish=[0,1]}",1,1,1,1,810
"134","{Nail.Polish=[0,1]} => {Bronzer=[0,1]}",1,1,1,1,810
"135","{Bronzer=[0,1]} => {Nail.Polish=[0,1]}",1,1,1,1,810
"136","{Nail.Polish=[0,1]} => {Lip.liner=[0,1]}",1,1,1,1,810
"137","{Lip.liner=[0,1]} => {Nail.Polish=[0,1]}",1,1,1,1,810
"138","{Nail.Polish=[0,1]} => {Mascara=[0,1]}",1,1,1,1,810
"139","{Mascara=[0,1]} => {Nail.Polish=[0,1]}",1,1,1,1,810
"140","{Nail.Polish=[0,1]} => {Eye.shadow=[0,1]}",1,1,1,1,810
"141","{Eye.shadow=[0,1]} => {Nail.Polish=[0,1]}",1,1,1,1,810
"142","{Nail.Polish=[0,1]} => {Foundation=[0,1]}",1,1,1,1,810
"143","{Foundation=[0,1]} => {Nail.Polish=[0,1]}",1,1,1,1,810
"144","{Nail.Polish=[0,1]} => {Lip.Gloss=[0,1]}",1,1,1,1,810
"145","{Lip.Gloss=[0,1]} => {Nail.Polish=[0,1]}",1,1,1,1,810
"146","{Nail.Polish=[0,1]} => {Lipstick=[0,1]}",1,1,1,1,810
"147","{Lipstick=[0,1]} => {Nail.Polish=[0,1]}",1,1,1,1,810
"148","{Nail.Polish=[0,1]} => {Eyeliner=[0,1]}",1,1,1,1,810
"149","{Eyeliner=[0,1]} => {Nail.Polish=[0,1]}",1,1,1,1,810
"150","{Nail.Polish=[0,1]} => {Bag=[0,1]}",1,1,1,1,810
"151","{Bag=[0,1]} => {Nail.Polish=[0,1]}",1,1,1,1,810
"152","{Brushes=[0,1]} => {Concealer=[0,1]}",1,1,1,1,810
"153","{Concealer=[0,1]} => {Brushes=[0,1]}",1,1,1,1,810
"154","{Brushes=[0,1]} => {Eyebrow.Pencils=[0,1]}",1,1,1,1,810
"155","{Eyebrow.Pencils=[0,1]} => {Brushes=[0,1]}",1,1,1,1,810
"156","{Brushes=[0,1]} => {Bronzer=[0,1]}",1,1,1,1,810
"157","{Bronzer=[0,1]} => {Brushes=[0,1]}",1,1,1,1,810
"158","{Brushes=[0,1]} => {Lip.liner=[0,1]}",1,1,1,1,810
"159","{Lip.liner=[0,1]} => {Brushes=[0,1]}",1,1,1,1,810
"160","{Brushes=[0,1]} => {Mascara=[0,1]}",1,1,1,1,810
"161","{Mascara=[0,1]} => {Brushes=[0,1]}",1,1,1,1,810
"162","{Brushes=[0,1]} => {Eye.shadow=[0,1]}",1,1,1,1,810
"163","{Eye.shadow=[0,1]} => {Brushes=[0,1]}",1,1,1,1,810
"164","{Brushes=[0,1]} => {Foundation=[0,1]}",1,1,1,1,810
"165","{Foundation=[0,1]} => {Brushes=[0,1]}",1,1,1,1,810
"166","{Brushes=[0,1]} => {Lip.Gloss=[0,1]}",1,1,1,1,810
"167","{Lip.Gloss=[0,1]} => {Brushes=[0,1]}",1,1,1,1,810
"168","{Brushes=[0,1]} => {Lipstick=[0,1]}",1,1,1,1,810
"169","{Lipstick=[0,1]} => {Brushes=[0,1]}",1,1,1,1,810
"170","{Brushes=[0,1]} => {Eyeliner=[0,1]}",1,1,1,1,810
"171","{Eyeliner=[0,1]} => {Brushes=[0,1]}",1,1,1,1,810
"172","{Brushes=[0,1]} => {Bag=[0,1]}",1,1,1,1,810
"173","{Bag=[0,1]} => {Brushes=[0,1]}",1,1,1,1,810
"174","{Concealer=[0,1]} => {Eyebrow.Pencils=[0,1]}",1,1,1,1,810
"175","{Eyebrow.Pencils=[0,1]} => {Concealer=[0,1]}",1,1,1,1,810
"176","{Concealer=[0,1]} => {Bronzer=[0,1]}",1,1,1,1,810
"177","{Bronzer=[0,1]} => {Concealer=[0,1]}",1,1,1,1,810
"178","{Concealer=[0,1]} => {Lip.liner=[0,1]}",1,1,1,1,810
"179","{Lip.liner=[0,1]} => {Concealer=[0,1]}",1,1,1,1,810
"180","{Concealer=[0,1]} => {Mascara=[0,1]}",1,1,1,1,810
"181","{Mascara=[0,1]} => {Concealer=[0,1]}",1,1,1,1,810
"182","{Concealer=[0,1]} => {Eye.shadow=[0,1]}",1,1,1,1,810
"183","{Eye.shadow=[0,1]} => {Concealer=[0,1]}",1,1,1,1,810
"184","{Concealer=[0,1]} => {Foundation=[0,1]}",1,1,1,1,810
"185","{Foundation=[0,1]} => {Concealer=[0,1]}",1,1,1,1,810
"186","{Concealer=[0,1]} => {Lip.Gloss=[0,1]}",1,1,1,1,810
"187","{Lip.Gloss=[0,1]} => {Concealer=[0,1]}",1,1,1,1,810
"188","{Concealer=[0,1]} => {Lipstick=[0,1]}",1,1,1,1,810
"189","{Lipstick=[0,1]} => {Concealer=[0,1]}",1,1,1,1,810
"190","{Concealer=[0,1]} => {Eyeliner=[0,1]}",1,1,1,1,810
"191","{Eyeliner=[0,1]} => {Concealer=[0,1]}",1,1,1,1,810
"192","{Concealer=[0,1]} => {Bag=[0,1]}",1,1,1,1,810
"193","{Bag=[0,1]} => {Concealer=[0,1]}",1,1,1,1,810
"194","{Eyebrow.Pencils=[0,1]} => {Bronzer=[0,1]}",1,1,1,1,810
"195","{Bronzer=[0,1]} => {Eyebrow.Pencils=[0,1]}",1,1,1,1,810
"196","{Eyebrow.Pencils=[0,1]} => {Lip.liner=[0,1]}",1,1,1,1,810
"197","{Lip.liner=[0,1]} => {Eyebrow.Pencils=[0,1]}",1,1,1,1,810
"198","{Eyebrow.Pencils=[0,1]} => {Mascara=[0,1]}",1,1,1,1,810
"199","{Mascara=[0,1]} => {Eyebrow.Pencils=[0,1]}",1,1,1,1,810
"200","{Eyebrow.Pencils=[0,1]} => {Eye.shadow=[0,1]}",1,1,1,1,810
"201","{Eye.shadow=[0,1]} => {Eyebrow.Pencils=[0,1]}",1,1,1,1,810
"202","{Eyebrow.Pencils=[0,1]} => {Foundation=[0,1]}",1,1,1,1,810
"203","{Foundation=[0,1]} => {Eyebrow.Pencils=[0,1]}",1,1,1,1,810
"204","{Eyebrow.Pencils=[0,1]} => {Lip.Gloss=[0,1]}",1,1,1,1,810
"205","{Lip.Gloss=[0,1]} => {Eyebrow.Pencils=[0,1]}",1,1,1,1,810
"206","{Eyebrow.Pencils=[0,1]} => {Lipstick=[0,1]}",1,1,1,1,810
"207","{Lipstick=[0,1]} => {Eyebrow.Pencils=[0,1]}",1,1,1,1,810
"208","{Eyebrow.Pencils=[0,1]} => {Eyeliner=[0,1]}",1,1,1,1,810
"209","{Eyeliner=[0,1]} => {Eyebrow.Pencils=[0,1]}",1,1,1,1,810
"210","{Eyebrow.Pencils=[0,1]} => {Bag=[0,1]}",1,1,1,1,810
"211","{Bag=[0,1]} => {Eyebrow.Pencils=[0,1]}",1,1,1,1,810
"212","{Bronzer=[0,1]} => {Lip.liner=[0,1]}",1,1,1,1,810
"213","{Lip.liner=[0,1]} => {Bronzer=[0,1]}",1,1,1,1,810
"214","{Bronzer=[0,1]} => {Mascara=[0,1]}",1,1,1,1,810
"215","{Mascara=[0,1]} => {Bronzer=[0,1]}",1,1,1,1,810
"216","{Bronzer=[0,1]} => {Eye.shadow=[0,1]}",1,1,1,1,810
"217","{Eye.shadow=[0,1]} => {Bronzer=[0,1]}",1,1,1,1,810
"218","{Bronzer=[0,1]} => {Foundation=[0,1]}",1,1,1,1,810
"219","{Foundation=[0,1]} => {Bronzer=[0,1]}",1,1,1,1,810
"220","{Bronzer=[0,1]} => {Lip.Gloss=[0,1]}",1,1,1,1,810
"221","{Lip.Gloss=[0,1]} => {Bronzer=[0,1]}",1,1,1,1,810
"222","{Bronzer=[0,1]} => {Lipstick=[0,1]}",1,1,1,1,810
"223","{Lipstick=[0,1]} => {Bronzer=[0,1]}",1,1,1,1,810
"224","{Bronzer=[0,1]} => {Eyeliner=[0,1]}",1,1,1,1,810
"225","{Eyeliner=[0,1]} => {Bronzer=[0,1]}",1,1,1,1,810
"226","{Bronzer=[0,1]} => {Bag=[0,1]}",1,1,1,1,810
"227","{Bag=[0,1]} => {Bronzer=[0,1]}",1,1,1,1,810
"228","{Lip.liner=[0,1]} => {Mascara=[0,1]}",1,1,1,1,810
"229","{Mascara=[0,1]} => {Lip.liner=[0,1]}",1,1,1,1,810
"230","{Lip.liner=[0,1]} => {Eye.shadow=[0,1]}",1,1,1,1,810
"231","{Eye.shadow=[0,1]} => {Lip.liner=[0,1]}",1,1,1,1,810
"232","{Lip.liner=[0,1]} => {Foundation=[0,1]}",1,1,1,1,810
"233","{Foundation=[0,1]} => {Lip.liner=[0,1]}",1,1,1,1,810
"234","{Lip.liner=[0,1]} => {Lip.Gloss=[0,1]}",1,1,1,1,810
"235","{Lip.Gloss=[0,1]} => {Lip.liner=[0,1]}",1,1,1,1,810
"236","{Lip.liner=[0,1]} => {Lipstick=[0,1]}",1,1,1,1,810
"237","{Lipstick=[0,1]} => {Lip.liner=[0,1]}",1,1,1,1,810
"238","{Lip.liner=[0,1]} => {Eyeliner=[0,1]}",1,1,1,1,810
"239","{Eyeliner=[0,1]} => {Lip.liner=[0,1]}",1,1,1,1,810
"240","{Lip.liner=[0,1]} => {Bag=[0,1]}",1,1,1,1,810
"241","{Bag=[0,1]} => {Lip.liner=[0,1]}",1,1,1,1,810
"242","{Mascara=[0,1]} => {Eye.shadow=[0,1]}",1,1,1,1,810
"243","{Eye.shadow=[0,1]} => {Mascara=[0,1]}",1,1,1,1,810
"244","{Mascara=[0,1]} => {Foundation=[0,1]}",1,1,1,1,810
"245","{Foundation=[0,1]} => {Mascara=[0,1]}",1,1,1,1,810
"246","{Mascara=[0,1]} => {Lip.Gloss=[0,1]}",1,1,1,1,810
"247","{Lip.Gloss=[0,1]} => {Mascara=[0,1]}",1,1,1,1,810
"248","{Mascara=[0,1]} => {Lipstick=[0,1]}",1,1,1,1,810
"249","{Lipstick=[0,1]} => {Mascara=[0,1]}",1,1,1,1,810
"250","{Mascara=[0,1]} => {Eyeliner=[0,1]}",1,1,1,1,810
"251","{Eyeliner=[0,1]} => {Mascara=[0,1]}",1,1,1,1,810
"252","{Mascara=[0,1]} => {Bag=[0,1]}",1,1,1,1,810
"253","{Bag=[0,1]} => {Mascara=[0,1]}",1,1,1,1,810
"254","{Eye.shadow=[0,1]} => {Foundation=[0,1]}",1,1,1,1,810
"255","{Foundation=[0,1]} => {Eye.shadow=[0,1]}",1,1,1,1,810
"256","{Eye.shadow=[0,1]} => {Lip.Gloss=[0,1]}",1,1,1,1,810
"257","{Lip.Gloss=[0,1]} => {Eye.shadow=[0,1]}",1,1,1,1,810
"258","{Eye.shadow=[0,1]} => {Lipstick=[0,1]}",1,1,1,1,810
"259","{Lipstick=[0,1]} => {Eye.shadow=[0,1]}",1,1,1,1,810
"260","{Eye.shadow=[0,1]} => {Eyeliner=[0,1]}",1,1,1,1,810
"261","{Eyeliner=[0,1]} => {Eye.shadow=[0,1]}",1,1,1,1,810
"262","{Eye.shadow=[0,1]} => {Bag=[0,1]}",1,1,1,1,810
"263","{Bag=[0,1]} => {Eye.shadow=[0,1]}",1,1,1,1,810
"264","{Foundation=[0,1]} => {Lip.Gloss=[0,1]}",1,1,1,1,810
"265","{Lip.Gloss=[0,1]} => {Foundation=[0,1]}",1,1,1,1,810
"266","{Foundation=[0,1]} => {Lipstick=[0,1]}",1,1,1,1,810
"267","{Lipstick=[0,1]} => {Foundation=[0,1]}",1,1,1,1,810
"268","{Foundation=[0,1]} => {Eyeliner=[0,1]}",1,1,1,1,810
"269","{Eyeliner=[0,1]} => {Foundation=[0,1]}",1,1,1,1,810
"270","{Foundation=[0,1]} => {Bag=[0,1]}",1,1,1,1,810
"271","{Bag=[0,1]} => {Foundation=[0,1]}",1,1,1,1,810
"272","{Lip.Gloss=[0,1]} => {Lipstick=[0,1]}",1,1,1,1,810
"273","{Lipstick=[0,1]} => {Lip.Gloss=[0,1]}",1,1,1,1,810
"274","{Lip.Gloss=[0,1]} => {Eyeliner=[0,1]}",1,1,1,1,810
"275","{Eyeliner=[0,1]} => {Lip.Gloss=[0,1]}",1,1,1,1,810
"276","{Lip.Gloss=[0,1]} => {Bag=[0,1]}",1,1,1,1,810
"277","{Bag=[0,1]} => {Lip.Gloss=[0,1]}",1,1,1,1,810
"278","{Lipstick=[0,1]} => {Eyeliner=[0,1]}",1,1,1,1,810
"279","{Eyeliner=[0,1]} => {Lipstick=[0,1]}",1,1,1,1,810
"280","{Lipstick=[0,1]} => {Bag=[0,1]}",1,1,1,1,810
"281","{Bag=[0,1]} => {Lipstick=[0,1]}",1,1,1,1,810
"282","{Eyeliner=[0,1]} => {Bag=[0,1]}",1,1,1,1,810
"283","{Bag=[0,1]} => {Eyeliner=[0,1]}",1,1,1,1,810
